,speaker,sentence,gold,cluster tokens,cluster
348,Biden,His family's already-,0,family already,3
349,Biden,And that's such a-,0,a,3
350,Biden,This is not about my family or his family.,1,family family,3
351,Biden,"It's about your family, the American people.",1,family american people,1
352,Biden,That's not true.,0,true,4
353,Biden,It doesn't want to talk about what you need.,0,want talk need,8
354,Biden,"You, the American people, it's about you.",1,american people,1
355,Biden,That's what we're talking about here.,0,talk,8
356,Biden,Try to be honest.,0,try honest,0
357,Biden,That is absolutely not true.,0,absolutely true,4
358,Biden,That's a good point.,0,good point,3
359,Biden,It's about equity and equality.,1,equity equality,0
360,Biden,It's about decency.,1,decency,3
361,Biden,It's about the constitution.,1,constitution,3
362,Biden,"And we have never walked away from trying to require equity for everyone, equality for the whole of America.",1,walk away try require equity equality america,0
363,Biden,"But we've never accomplished it, but we've never walked away from it like he has done.",0,accomplish walk away,3
364,Biden,"It is true, the reason I got in the race is when those people... Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan.",1,true reason get race people close eye remember people look come field carry torch vein bulge spew anti semitic bile accompany ku klux klan,1
365,Biden,A young woman got killed and they asked the president what he thought.,0,young woman get kill ask president think,0
366,Biden,"He said, There were very fine people on both sides.",0,say fine people side,5
367,Biden,No president's ever said anything like that.,0,president say,5
369,Biden,Now-,0,now,3
370,Biden,"... second point I'd make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House.",0,second point floyd kill mr floyd kill peaceful protest white house,0
372,Biden,"He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible.",0,come bunker military use tear gas walk church hold bible,0
373,Biden,And then what happened after that?,0,happen,3
374,Biden,The Bishop of that very church said that it was a disgrace.,0,bishop church say disgrace,5
375,Biden,"The general who was with him said all he ever wants to do is divide people, not unite people at all.",0,general say want divide people unite people,1
376,Biden,"This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division.",1,president dog whistle try generate racist hatred racist division,3
377,Biden,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus.",1,man fact talk help african americans african americans kill coronavirus,5
378,Biden,"And if he doesn't do something quickly, by the end of the year, one in 500 will have been killed.",1,quickly end year kill,3
379,Biden,One in 500 African Americans.,0,african americans,0
380,Biden,This man is as a savior of African-Americans?,0,man savior african americans,3
381,Biden,This man cares at all?,0,man care,3
382,Biden,This man's done virtually nothing.,0,man virtually,3
383,Biden,"Look, the fact is that you have to look at what he talks about.",0,look fact look talk,8
384,Biden,You have to look at what he did.,0,look,3
385,Biden,And what he did has been disastrous for the African-American community.,0,disastrous african american community,1
386,Biden,I've never said-,0,said,3
387,Biden,"Yes, there is.",0,yes,3
388,Biden,"There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced.",1,systemic injustice country education work law enforcement way enforce,5
389,Biden,"But look, the vast majority of police officers are good, decent, honorable men and women.",1,look vast majority police officer good decent honorable man woman,3
390,Biden,"They risk their lives every day to take care of us, but there are some bad apples.",1,risk life day care bad apple,3
391,Biden,"And when they occur, when they find them, they have to be sorted out.",1,occur find sort,3
392,Biden,They have to be held accountable.,1,hold accountable,0
393,Biden,They have to be held accountable.,0,hold accountable,0
394,Biden,"And what I'm going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we're going to work this out.",1,go president united states entire group people white house civil right group police officer police chief go work,3
395,Biden,We're going to work this out.,0,go work,3
396,Biden,"So we changed the way in which we have more transparency, in when these things happen.",1,change way transparency thing happen,8
397,Biden,These cops aren't happy to see what happened to George Floyd.,0,cop happy happen george floyd,3
398,Biden,These cops aren't happy to see what happened to Breonna Taylor.,0,cop happy happen breonna taylor,3
399,Biden,"Most don't like it, but we have to have a system where people are held accountable when... And by the way, violence in response is never appropriate, never appropriate.",0,system people hold accountable way violence response appropriate appropriate,5
400,Biden,"Peaceful protest is, violence is never appropriate.",1,peaceful protest violence appropriate,0
401,Biden,That is not peaceful protest.,0,peaceful protest,0
403,Biden,He's the racist.,0,racist,3
404,Biden,Here's the deal.,0,deal,6
405,Biden,I know a lot more about this-  .,0,know lot this,7
406,Biden,The fact is that there is racial insensitivity.,1,fact racial insensitivity,5
407,Biden,"People have to be made aware of what other people feel like, what insults them, what is demeaning to them.",1,people aware people feel insult demean,1
408,Biden,It's important people know.,0,important people know,7
409,Biden,"Many people don't want to hurt other people's feelings, but it makes a big difference.",1,people want hurt people feeling make big difference,1
410,Biden,It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem.,1,make gigantic difference way child able grow sense self esteem,3
411,Biden,It's a little bit like how this guy and his friends look down on so many people.,0,little bit guy friend look people,1
412,Biden,"They look down their nose on people like Irish Catholics, like me, who grow up in Scranton.",0,look nose people irish catholics grow scranton,1
413,Biden,They look down on people who don't have money.,0,look people money,1
414,Biden,They look down on people who are of a different faith.,0,look people different faith,1
415,Biden,They looked down on people who are a different color.,0,look people different color,1
416,Biden,"In fact, we're all Americans.",1,fact americans,5
417,Biden,The only way we're going to bring this country together is bring everybody together.,1,way go bring country bring everybody,5
419,Biden,We can take this on and we can defeat racism in American.,1,defeat racism american,1
420,Biden,Oh my Lord.,0,lord,3
421,Biden,This is ridiculous.,0,ridiculous,3
422,Biden,Absolutely ridiculous.,0,absolutely ridiculous,3
423,Biden,Violent crime-,0,violent crime,0
424,Biden,I'm in favor of law.,0,favor law,3
425,Biden,You-  .,0,you,3
426,Biden,"Law and order with justice, where people get treated fairly.",1,law order justice people treat fairly,1
427,Biden,"And the fact of the matter is, violent crime went down 17%, 15% in our administration.",1,fact matter violent crime go administration,5
428,Biden,It's gone up on his watch.,0,go watch,3
429,Biden,He wouldn't know a suburb unless you took a wrong turn.,0,know suburb take wrong turn,7
430,Biden,I was raised in the suburbs.,0,raise suburb,3
432,Biden,All these dog whistles and racism don't work anymore.,0,dog whistle racism work anymore,3
433,Biden,Suburbs are by and large integrated.,1,suburb large integrated,3
434,Biden,"There's many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID.",1,people today drive kid soccer practice and or black white hispanic car time past threat suburb safety failure deal covid,1
435,Biden,They're dying in the suburbs.,0,die suburb,1
436,Biden,"His failure to deal with the environment, they're being flooded, they're being burned out because his refusal to do anything.",0,failure deal environment flood burn refusal,3
437,Biden,That's why the suburbs are in trouble.,1,suburb trouble,0
438,Biden,"Look, what I support are the police having the opportunity to deal with the problems they face and I'm totally opposed to defunding the police offices.",1,look support police have opportunity deal problem face totally opposed defunde police office,0
439,Biden,"As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance.",1,matter fact police local police defunding budget call million cut local law enforcement assistance,5
440,Biden,They need more assistance.,1,need assistance,0
441,Biden,They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down.,1,need psychologist psychiatrist have use force able talk people,8
442,Biden,We have to have community policing like we had before where the officers get to know the people in the communities.,1,community police officer know people community,1
443,Biden,"That's when crime went down, it didn't go up.",1,crime go,0
444,Biden,It went down.,0,go,3
446,Biden,That is not true.,0,true,4
447,Biden,That's not true.,0,true,4
448,Biden,We don't have time to do anything.,0,time,3
449,Biden,I don't hold public office.,0,hold public office,0
450,Biden,Now I am a former vice president.,0,vice president,3
451,Biden,I've made it clear.,0,clear,3
452,Biden,I've made it clear in my public statements that the violence should be prosecuted.,1,clear public statement violence prosecute,3
453,Biden,It should be prosecuted and anyone who committed it should be prosecuted.,0,prosecute commit prosecute,3
454,Biden,They can in fact take care of it if he just stay out of the way.,0,fact care stay way,5
455,Biden,"And by the way his own former spokesperson said, Riots and chaos and violence help he cause.",0,way spokesperson say riot chaos violence help cause,5
457,Biden,I think Kellyanne Conway.,0,think kellyanne conway,3
458,Biden,She said that.,0,say,5
459,Biden,"Here's the point, the point is that that's why he keeps trying to rile everything up.",0,point point keep try rile,3
460,Biden,"He doesn't want to calm things down instead of going in and talking to people and saying, Let's get everybody together.",0,want calm thing instead go talk people say let everybody,8
461,Biden,Figure out how to deal with this.,0,figure deal,6
463,Biden,He just pours gasoline in the fire constantly and every single solitary time.,0,pour gasoline fire constantly single solitary time,3
464,Biden,"He's own FBI Director said unlike white supremacist, Antifa is an idea not an organization-",0,fbi director say unlike white supremacist antifa idea organization,5
465,Biden,... not a militia.,0,militia,3
466,Biden,That's what his FBI Director said.,0,fbi director say,5
467,Biden,"Every body in your administration tells you the true, it's a bad idea.",0,body administration tell true bad idea,3
468,Biden,You have no idea about anything.,0,idea,3
469,Biden,"Under this president, we become weaker, sicker, poor, more divided and more violent.",1,president weak sicker poor divided violent,3
470,Biden,"When I was vice president, we inherited a recession.",0,vice president inherit recession,3
471,Biden,I was asked to fix it.,0,ask fix,0
473,Biden,We left him a booming economy and he caused the recession.,0,leave boom economy cause recession,3
474,Biden,"With regard to being weaker, the fact is that I've gone head to head with Putin and made it clear to him we're not going to take any of his stuff.",1,regard weak fact go head head putin clear go stuff,3
475,Biden,He's Putin's puppy.,0,putin puppy,3
476,Biden,He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.,0,refuse putin bounty head american soldier,3
477,Biden,"By the way, my son...",0,way son,5
478,Biden,He never keeps his word.,0,keep word,3
479,Biden,Can you get back 30 seconds?,0,second,3
480,Biden,"So thirdly, we're poor.",1,thirdly poor,3
481,Biden,The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID.,1,billionaire get wealthy tune billion covid,0
482,Biden,"You in the home, you got less you're in more trouble than you were before.",1,home get trouble,0
483,Biden,In terms of being more violent.,0,term violent,3
484,Biden,When we were in office there were 15% less violence in America than there is today.,1,office violence america today,0
485,Biden,He's President United States.,0,president united states,3
486,Biden,It's on his watch.,0,watch,3
487,Biden,"And with regard to more divided the nation, it can't stay divided.",1,regard divide nation stay divided,3
488,Biden,We can't be this way.,0,way,5
489,Biden,"And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers.",1,speak son way talk military way talk loser sucker,5
490,Biden,My son was in Iraq.,0,son iraq,0
491,Biden,He spent a year there.,0,spend year,3
492,Biden,He got the Brown Star.,0,get brown star,0
493,Biden,He got the Conspicuous Service Medal.,0,get conspicuous service medal,0
494,Biden,He was not a loser.,0,loser,3
495,Biden,He was a Patriot and the people left behind there were heroes.,1,patriot people leave hero,1
496,Biden,And I resent-,0,resent,3
497,Biden,"I'm talking about my son, Beau Biden, you're talking about Hunter?",0,talk son beau biden talk hunter,8
498,Biden,That's not true he was not dishonorably discharged.,0,true dishonorably discharge,4
499,Biden,None of that is true.,0,true,4
500,Biden,That is not true.,0,true,4
501,Biden,My son like a lot of people at home had a drug problem.,0,son lot people home drug problem,1
502,Biden,He's overtaking it.,0,overtake,3
503,Biden,He's fixed it.,0,fix,3
504,Biden,He's worked on it.,0,work,3
505,Biden,"And I'm proud of him, I'm proud of my son.",0,proud proud son,0
506,Biden,He wasn't given tens of millions of dollars.,0,give ten million dollar,3
507,Biden,It was all discredited.,0,discredit,0
508,Biden,That is not true.,0,true,4
509,Biden,That report is totally discredited.,0,report totally discredit,0
510,Biden,Mitt Romney on that committee said it wasn't worth taxpayer's money.,0,mitt romney committee say worth taxpayer money,5
511,Biden,That report was written for political reason.,0,report write political reason,3
512,Biden,So would I.,0,i,3
513,Biden,Why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks?,0,relaxed fuel economy standard go create pollution car truck,3
514,Biden,"He's absolutely wrong, number one.",0,absolutely wrong,0
515,Biden,"Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil.",1,fact administration recovery act charge able bring cost renewable energy cheap cheap coal gas oil,0
516,Biden,Nobody's going to build another coal fired plant in America.,1,go build coal fire plant america,0
517,Biden,No one's going to build another oil fire plant in America.,1,go build oil fire plant america,0
518,Biden,They're going to move to renewable energy.,1,go renewable energy,3
519,Biden,"Number one, number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on their electric vehicles.",1,go sure able federal fleet turn fleet run electric vehicle,3
520,Biden,"Making sure that we can do that, we're going to put 500,000 charging stations in all of the highways that we're going to be building in the future.",1,make sure go charge station highway go build future,3
521,Biden,We're going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they'll emit significantly less gas and oil because the heat will not be going out.,1,go build economy fact go provide ability million building sure fact weatherize way fact emit significantly gas oil heat go,5
522,Biden,There's so many things that we can do...,0,thing,8
523,Biden,Gas and oil because the heat will not be going out.,0,gas oil heat go,0
524,Biden,There's so many things that we can do now to create thousands and thousands of jobs.,0,thing create thousand thousand job,8
525,Biden,"We can get to net zero, in terms of energy production, by 2035.",1,net zero term energy production,3
526,Biden,"Not only not costing people jobs, creating jobs, creating millions of good-paying jobs.",1,cost people job create job create million good pay job,1
527,Biden,"Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green.",1,buck hour prevail wage have new infrastructure fact green,5
528,Biden,"And the first thing I will do, I will rejoin the Paris Accord.",1,thing rejoin paris accord,8
529,Biden,"I will join the Paris Accord because with us out of it, look what's happening.",0,join paris accord look happen,3
530,Biden,It's all falling apart.,0,fall apart,0
531,Biden,And talk about someone who has no relationship with foreign policy.,0,talk relationship foreign policy,8
532,Biden,"The rainforests of Brazil are being torn down, are being ripped down.",1,rainforest brazil tear rip,3
533,Biden,More carbon is absorbed in that rainforest than every bit of carbon that's emitted in the United States.,1,carbon absorb rainfor bit carbon emit united states,3
534,Biden,"Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, Here's $20 billion.",1,instead gather make sure country world come billion billion,0
535,Biden,Stop tearing down the forest.,1,stop tear forest,3
536,Biden,"And If you don't, then you're going to have significant economic consequences.",1,go significant economic consequence,0
537,Biden,"Well, he hasn't drawn a line.",0,draw line,3
538,Biden,He wants to make sure that methane's not a problem.,0,want sure methane problem,8
539,Biden,You can now emit more methane without it being a problem.,0,emit methane problem,0
540,Biden,Methane.,0,methane,3
541,Biden,This is a guy who says that you don't have to have mileage standards for automobiles that exist now.,0,guy say mileage standard automobile exist,5
542,Biden,"This is the guy who says that, the fact that-",0,guy say fact that,5
543,Biden,It's all true.,0,true,4
544,Biden,And here's the deal-,0,deal,6
545,Biden,I'm talking about the Biden plan  -,0,talk biden plan,9
546,Biden,That is not-,0,not,3
547,Biden,Not true-,0,true,4
548,Biden,Not true.,0,true,4
549,Biden,Not true.,0,true,4
550,Biden,Simply... Look-,0,simply look,3
551,Biden,That is simply not the case-,0,simply case,3
552,Biden,"What it's going to do, it's going to create thousands and millions of jobs.",0,go go create thousand million job,3
553,Biden,Good paying jobs  .,0,good pay job,3
554,Biden,He doesn't know how to do that-,0,know that,7
555,Biden,"The fact is, it's going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of.",1,fact go create million good pay job tax incentive people weatherize want rid,1
556,Biden,It's going to make the economy much safer.,1,go economy safe,3
557,Biden,"Look how much we're paying now to deal with the hurricanes, deal with... By the way, he has an answer for hurricanes.",0,look pay deal hurricane deal way answer hurricane,6
558,Biden,"He said, maybe we should drop a nuclear weapon on them, and they may-",0,say maybe drop nuclear weapon may,5
559,Biden,"Yeah, he did say that-",0,that,3
560,Biden,And here's the deal-,0,deal,6
561,Biden,"... we're going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape.",1,go position create hard hard good job make sure environment clean well shape,3
562,Biden,"We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas.",1,spend billion dollar billion dollar flood hurricane rise sea,0
563,Biden,We're in real trouble.,0,real trouble,0
564,Biden,Look what's happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa.,1,look happen midwest storm come wipe entire section county iowa,3
565,Biden,They didn't happen before.,0,happen,3
566,Biden,They're because of global warming.,1,global warming,0
567,Biden,We make up 15% of the world's problem.,1,world problem,0
568,Biden,"But the rest of the world, we've got to get them to come along.",1,rest world get come,0
569,Biden,That's why we have to get back into the Paris Accord.,1,paris accord,0
570,Biden,That is not my plan  .,0,plan,9
571,Biden,The Green New Deal   is not my plan.,1,green new deal plan,6
573,Biden,I did not say that-,0,that,3
574,Biden,Play it.,0,play,3
575,Biden,Play it-,0,play it,3
576,Biden,"The final question is, I can't remember which of all his rantings  .",0,final question remember ranting,0
577,Biden,The economy-,0,economy,3
578,Biden,The Green New Deal will pay for itself as we move forward.,1,green new deal pay forward,6
579,Biden,"We're not going to build plants that, in fact, are great polluting plants-",1,go build plant fact great pollute plants,5
580,Biden,Pardon me?,0,pardon,3
581,Biden,"No, I don't support the Green New Deal.",1,support green new deal,6
582,Biden,I support  -,0,support,3
583,Biden,I support   the Biden plan that I put forward.,1,support biden plan forward,9
584,Biden,"The Biden plan, which is different than what he calls the radical Green New Deal.",1,biden plan different call radical green new deal,6
585,Biden,Prepare to let people vote.,1,prepare let people vote,2
586,Biden,"They should go to iwillvote.com, decide how they're going to vote, when they're going to vote, and what means by which they're going to vote.",1,iwillvote com decide go vote go vote mean go vote,2
587,Biden,"His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating.",1,homeland security director fbi director say evidence mail ballot source manipulate cheat,5
588,Biden,They said that.,0,say,5
589,Biden,"The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way.",1,fact go million people covid go vote mail ballot way,5
590,Biden,"He sits behind the Resolute Desk and sends his ballot to Florida, number one.",0,sit resolute desk send ballot florida,3
591,Biden,"Number two, we're going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance.",1,go sure people want vote person able vote poll watcher sure socially distance,2
592,Biden,"The polls are open on time, and the polls stay open until the votes are counted.",1,poll open time poll stay open vote count,3
593,Biden,And this is all about trying to dissuade people from voting because he's trying to scare people into thinking that it's not going to be legitimate.,1,try dissuade people vote try scare people think go legitimate,1
594,Biden,Show up and vote.,1,vote,2
595,Biden,You will determine the outcome of this election.,1,determine outcome election,3
596,Biden,"Vote, vote, vote.",0,vote vote vote,2
597,Biden,"If you're able to vote early in your state, vote early.",1,able vote early state vote early,2
598,Biden,"If you're able to vote in person, vote in person.",1,able vote person vote person,2
599,Biden,"Vote whatever way is the best way for you, because you will...",1,vote way good way,5
600,Biden,He cannot stop you from being able to determine the outcome of this election.,1,stop able determine outcome election,3
601,Biden,And in terms of whether or not...,0,term,3
602,Biden,"When the votes are counted and they're all counted, that will be accepted.",1,vote count count accept,2
603,Biden,"If I win, that will be accepted.",1,win accept,3
604,Biden,"If I lose, that'll be accepted.",1,lose accept,3
605,Biden,"But by the way, if in fact he says, he's not sure what he's going to accept.",1,way fact say sure go accept,5
606,Biden,"Well, let me tell you something, it doesn't matter, because if we get the votes, it's going to be all over.",1,let tell matter vote go,2
607,Biden,He's going to go.,0,go,3
608,Biden,He can't stay in power.,1,stay power,0
609,Biden,It won't happen.,0,happen,3
610,Biden,"It won't happen, so vote.",0,happen vote,2
611,Biden,"Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years.",1,sure understand control determine country go look year,3
612,Biden,"Is it going to change, or are you going to get four more years of these lies?",0,go change go year lie,3
614,Biden,There is no evidence of that-,0,evidence that,3
615,Biden,There is no evidence of that-,0,evidence that,3
616,Biden,Five states have had mail-in ballots for the last decade or more.,1,state mail ballot decade,3
617,Biden,"Five, including two Republican states.",1,include republican state,3
618,Biden,And you don't have to solicit the ballot.,1,solicit ballot,0
619,Biden,It's sent to you.,0,send,3
620,Biden,It's sent to your home.,1,send home,3
621,Biden,What they're saying is that it has to be a postmark by election day.,0,say postmark election day,5
622,Biden,"If it doesn't get in until the seventh, eighth, ninth, it still should be counted.",0,seventh eighth ninth count,0
623,Biden,He's just afraid of counting the votes-,0,afraid count votes,0
624,Biden,"I am concerned that any court would settle this, because here's the deal.",0,concern court settle deal,6
625,Biden,"When you get a ballot and you fill it out, you're supposed to have an affidavit.",1,ballot fill suppose affidavit,0
626,Biden,"If you didn't know, you have someone say that, this is me.",0,know,7
627,Biden,"You should be able to, if in fact you can verify that's you before the ballot is thrown out, that's sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I.",1,able fact verify ballot throw sufficient able count ballot mistake dot correct i,3
628,Biden,"Who they voted for, testify, say who they voted for, say it's you.",1,vote testify vote,2
629,Biden,That is totally legitimate.,0,totally legitimate,0
630,Biden,Mail service delivers   185 million pieces of mail a day  -,1,mail service deliver million piece mail day,3
631,Biden,Yes.,0,yes,3
632,Biden,And here's the deal.,0,deal,6
633,Biden,"We count the ballots, as you pointed out.",1,count ballot point,0
634,Biden,Some of these ballots in some states can't even be opened until election day.,1,ballot state open election day,3
635,Biden,"And if there's thousands of ballots, it's going to take time to do it.",1,thousand ballot go time,3
636,Biden,"And by the way, our military...",1,way military,5
637,Biden,"They've been voting by ballots since the end of the Civil War, in effect.",1,vote ballot end civil war effect,2
638,Biden,And that's what's going to happen.,0,go happen,3
639,Biden,"Why is it, for them, somehow not fraudulent.",0,fraudulent,3
640,Biden,It's the same process.,0,process,3
641,Biden,It's honest.,0,honest,0
642,Biden,"No one has established at all that there is fraud related to mail-in ballots, that somehow it's a fraudulent process.",1,establish fraud relate mail ballot fraudulent process,3
643,Biden,He has no idea what he's talking about.,0,idea talk,8
644,Biden,Here's the deal.,0,deal,6
645,Biden,"The fact is, I will accept it, and he will too.",0,fact accept,5
646,Biden,You know why?,0,know,7
647,Biden,"Because once the winner is declared after all the ballots are counted, all the votes are counted, that'll be the end of it.",1,winner declare ballot count vote count end,2
648,Biden,That'll be the end of it.,0,end,3
649,Biden,"And if it's me, in fact, fine.",0,fact fine,5
650,Biden,"If it's not me, I'll support the outcome.",0,support outcome,3
651,Biden,"And I'll be a president, not just for the Democrats.",0,president democrats,3
652,Biden,I'll be a president for Democrats and Republicans.,1,president democrats republicans,3
653,Biden,And this guy-,0,guy,3
