,speaker,sentence,gold,cluster tokens
406,Trump,"Chris, Chris.",0,chris chris
407,Trump,They said it would take-,1,say take
408,Trump,... a miracle to bring back manufacturing.,1,miracle bring manufacturing
409,Trump,"I brought back 700,000 jobs.",1,bring job
410,Trump,They brought back nothing.,0,bring
411,Trump,They gave up on manufacturing.,0,give manufacturing
412,Trump,... standard fare.,0,standard fare
413,Trump,He totally gave up on manufacturing.,0,totally give manufacturing
414,Trump,Ohio had the best year it's ever had last year.,0,ohio good year year
415,Trump,Michigan had the best year they've ever had.,0,michigan good year
416,Trump,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn't come in with you.",1,car company come germany japan go michigan go ohio come
417,Trump,.,0,
418,Trump,China ate your lunch-  .,0,china eat lunch
419,Trump,"China ate your lunch, Joe.",0,china eat lunch joe
420,Trump,And no wonder your son goes in and he takes out billions of dollars.,1,wonder son go take billion dollar
421,Trump,He takes out billions of dollars to manage.,0,take billion dollar manage
422,Trump,He makes millions of dollars.,1,make million dollar
423,Trump,"And also, while we're at it, why is it just out of curiosity, the mayor of Moscow's wife gave you a son three and a half million dollars?",1,curiosity mayor moscow wife give son half million dollar
424,Trump,What did he do to deserve it?,0,deserve
425,Trump,What did he do with-,0,with
426,Trump,"... to deserve $183,000?",0,deserve
427,Trump,"Oh really, he didn't get three and a half million?",0,half million
428,Trump,"Well wait, he didn't get three and a half million dollars, Joe?",0,wait half million dollar joe
429,Trump,He got three and a half million-,0,get half million
430,Trump,... dollars.,0,dollar
431,Trump,It's a fact.,0,fact
432,Trump,"Did Burisma pay him 183,000 a month, with no experience in energy?",0,burisma pay month experience energy
433,Trump,I think he did.,0,think
434,Trump,The media.,0,medium
435,Trump,"By the media, because they refuse to talk about it-",0,medium refuse talk it
436,Trump,... because they're embarrassed.,0,embarrassed
437,Trump,"So let me ask you this, Joe-  .",0,let ask joe
438,Trump,He got three and a half million dollars from Moscow.,0,get half million dollar moscow
439,Trump,I'd like to know who they are.,0,know
440,Trump,I'll fire them.,0,fire
441,Trump,Some people don't do a good job.,0,people good job
442,Trump,"Hey, let me just tell you, Joe-",0,let tell joe
443,Trump,"Three and a half million, Joe.",0,half million joe
444,Trump,Why did he deserve three and a half million from Moscow?,0,deserve half million moscow
445,Trump,My family-,0,family
446,Trump,My family lost a fortune by coming down and helping us with governance.,0,family lose fortune come help governance
447,Trump,Every single one of them lost a fortune-,0,single lose fortune
448,Trump,"Chris, can I be honest?",0,chris honest
449,Trump,It's a very important question-,0,important question
450,Trump,He stood up-,0,stand up
451,Trump,... and the threatened Ukraine-,0,threaten ukraine
452,Trump,... with a billion dollars-,0,billion dollars
453,Trump,"Well, that's all right, but he does plenty.",0,right plenty
454,Trump,He does plenty.,0,plenty
455,Trump,"Oh yeah, sure.",0,sure
456,Trump,That's true.,0,true
457,Trump,So-,0,so
458,Trump,"You did a crime bill, 1994, where you call them super predators.",1,crime bill super predator
459,Trump,African-Americans are super predators and they've never forgotten it.,1,african americans super predator forget
460,Trump,They've never forgotten it.,0,forget
461,Trump,"So you did that and they call you a super predator and I'm letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country.",1,super predator let people jail treat african american population community treat black community bad anybody country
462,Trump,"You did the 1990... And that's why, if you look at the polls, I'm doing better than any Republican has done in a long time, because they saw what you did.",1,look poll well republican long time see
463,Trump,"You call them super predators, and you've called them worse than that.",0,super predator call bad
464,Trump,"Because you look back at your testimony over the years, you've called them a lot worse than that.",0,look testimony year call lot bad
465,Trump,"As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support.",1,far church concern far general concern get support military leader general total support
466,Trump,"Law enforcement, almost every law enforcement group in the United States.",1,law enforcement law enforcement group united states
467,Trump,I have Florida.,1,florida
468,Trump,I have Texas.,1,texas
469,Trump,I have Ohio.,1,ohio
470,Trump,I have every...,0,
471,Trump,"Excuse me, Portland, the sheriff just came out today and he said, I support President Trump.",1,excuse portland sheriff come today say support president trump
472,Trump,I don't think you have any law enforcement.,0,think law enforcement
473,Trump,You can't even say the word law enforcement.,0,word law enforcement
474,Trump,"Because if you say those words, you're going to lose all of your radical left supporters.",0,word go lose radical left supporter
475,Trump,"And why aren't you saying those words, Joe?",0,say word joe
476,Trump,Why don't you say the words law enforcement?,0,word law enforcement
477,Trump,Because you know what?,0,know
478,Trump,"If called us in Portland, we would put out that fire in a half an hour.",1,call portland fire half hour
479,Trump,"But they won't do it, because they're run by radical left Democrats.",1,run radical left democrat
480,Trump,"If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle.",1,look chicago look place want look seattle hear come follow day hand get seattle
481,Trump,"Minneapolis, we got it back, Joe, because we believe in law and order, but you don't.",1,minneapolis get joe believe law order
482,Trump,"The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left.",1,city city run democrat case radical left
483,Trump,"And they've got you wrapped around their finger, Joe, to a point where you don't want to say anything about law and order.",0,get wrap finger joe point want law order
484,Trump,"And I'll tell you what, the people of this country want and demand law and order and you're afraid to even say it.",1,tell people country want demand law order afraid
485,Trump,What is peaceful protest?,0,peaceful protest
486,Trump,When they run through the middle of the town-,0,run middle town
487,Trump,... and burn down your stores and kill people all over the place-  .,0,burn store kill people place
488,Trump,Fine.,0,fine
489,Trump,I ended it because it's racist.,0,end racist
490,Trump,I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane.,0,end lot people complain ask thing absolutely insane
491,Trump,"That it a radical revolution that was taking place in our military, in our schools, all over the place.",1,radical revolution take place military school place
492,Trump,"And you know it, and so does everybody else.",0,know everybody
493,Trump,And he would know it-,0,know it
494,Trump,"If you were a certain person, you had no status in life.",1,certain person status life
495,Trump,It was sort of a reversal.,1,sort reversal
496,Trump,"And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas.",1,look people pay people hundred thousand dollar teach bad idea frankly sick idea
497,Trump,"And really, they were teaching people to hate our country And I'm not going to do that.",1,teach people hate country go
498,Trump,I'm not going to allow that to happen.,0,go allow happen
499,Trump,We have to go back to the core values of this country.,1,core value country
500,Trump,They were teaching people that our country is a horrible place.,1,teach people country horrible place
501,Trump,It's a racist place.,1,racist place
502,Trump,And they were teaching people to hate our country.,0,teach people hate country
503,Trump,And I'm not going to allow that to happen.,1,go allow happen
504,Trump,You just don't know.,0,know
505,Trump,"During the Obama-Biden administration, there was tremendous division.",0,obama biden administration tremendous division
506,Trump,There was hatred.,0,hatre
507,Trump,"You look at Ferguson, you look at, or you go to very...",0,look ferguson look
508,Trump,"Many places, look at Oakland.",0,place look oakland
509,Trump,Look what happened in Oakland.,0,look happen oakland
510,Trump,Look what happened in Baltimore.,0,look happen baltimore
511,Trump,Look what happened...,0,look happen
512,Trump,"Frankly, it was more violent than what I'm even seeing now.",0,frankly violent see
513,Trump,But the reason-,0,reason
514,Trump,... is that the Democrats that run these cities-,0,democrats run cities
515,Trump,"... don't want to talk, like you, about law and order.",0,want talk law order
516,Trump,And you still haven't mentioned.,0,mention
517,Trump,Are you in favor of law and order?,0,favor law order
518,Trump,Are you in favor of law and order?,0,favor law order
519,Trump,Okay.,0,okay
520,Trump,It went down much more in ours.,0,go
521,Trump,The places we had trouble were democratic run cities-,0,place trouble democratic run cities
522,Trump,"I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what's going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it's going up, like nobody's ever seen anything.",1,think party issue bring couple example look chicago go chicago people shoot die shot look new york go see
523,Trump,"The numbers are going up a 100%, 150%, 200% crime, it is crazy what's going on and he doesn't want to say law and order because he can't because he'll lose his radical left supporters and once he does that, it's over with.",1,go crime crazy go want law order lose radical left supporter
524,Trump,"But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone.",1,get run country run way want run way suburb go
525,Trump,And you would see problems like you've never seen before.,0,problem see
526,Trump,"Oh, I know suburbs so much that you.",0,know suburb
527,Trump,That's not what they are talking about this.,0,talk
528,Trump,That's not what it is about.,0,
529,Trump,He's talking about defunding the police.,0,talk defunde police
530,Trump,He doesn't have any law support.,0,law support
531,Trump,He has no law enforcement.,0,law enforcement
532,Trump,He has almost nothing.,0,
533,Trump,"Oh, really, who do you have name one group that supports you name one group that came out and supported you.",0,group support group come support
534,Trump,Go ahead.,0,ahead
535,Trump,Think we have time.,0,think time
536,Trump,"No, no think right now.",0,think right
537,Trump,Name one law enforcement group that came out in support of you.,0,law enforcement group come support
538,Trump,Oh really?,0,
539,Trump,I sent in the US Marshalls to get the killer of a young man in the middle of the street and they shot him for three days Portland didn't do anything.,0,send marshall killer young man middle street shoot day portland
540,Trump,I sent in the US Marshals they took care of business.,0,send marshal take care business
541,Trump,I don't know who said that.,0,know say
542,Trump,I don't think she said that.,0,think say
543,Trump,I don't think so.,0,think
544,Trump,Does it mean I have to answer his stuff.,0,mean answer stuff
545,Trump,"Wait a second, you have made a statement.",0,wait second statement
546,Trump,I would love to end it.,1,love end
547,Trump,"I'll send in the National Guard, it would be over.",0,send national guard
548,Trump,That'd be no problem.,0,problem
549,Trump,But I don't want to accept the National Guard.,0,want accept national guard
550,Trump,"Sure, I'm will to do that.",0,sure
551,Trump,I would say almost everything I see is from the left wing not from the right wing.,0,left wing right wing
552,Trump,I'm willing to do anything.,1,willing
553,Trump,I want to see peace.,1,want peace
554,Trump,What do you want to call them?,0,want
555,Trump,"Give me a name, give me a name, go ahead who do you want me to condemn.",0,ahead want condemn
556,Trump,"Proud Boys, stand back and stand by.",0,proud boy stand stand
557,Trump,But I'll tell you what somebody's got to do something about Antifa and the left because this is not a right wing problem this is a left wing.,0,tell somebody get antifa left right wing problem left wing
558,Trump,Oh you got to be kidding me.,0,get kid
559,Trump,"Well, then you know what, he's wrong.",0,know wrong
560,Trump,Antifa is bad.,0,antifa bad
561,Trump,"You know what, Antifa is a dangerous radical group.",1,know antifa dangerous radical group
562,Trump,"And you ought to be careful of them, they'll over throw you.",0,ought careful throw
563,Trump,Because there is never been an administration or president who has done more than I've done in a period of three and a half years.,1,administration president period half year
564,Trump,"And that's despite the impeachment hoax and you so what happened today with Hillary Clinton, where it was a whole big con job.",0,despite impeachment hoax happen today hillary clinton big con job
565,Trump,"But despite going through all of these things where I had a fight, both flanks and behind me and above there has never been an administration that's done what I've done.",0,despite go thing fight flank administration
566,Trump,"The greatest, before COVID came in the greatest economy in history, lowest unemployment numbers, everything was good.",1,great covid come great economy history low unemployment good
567,Trump,Everything was going.,0,go
568,Trump,"And by the way, there was unity going to happen.",1,way unity go happen
569,Trump,"People were calling me for the first time in years, they were calling and they were saying it's time maybe and then what happened?",1,people call time year call say time maybe happen
570,Trump,We got hit.,1,get hit
571,Trump,But now we're building it back up again.,1,build
572,Trump,"A rebuilding of the military, including Space Force and all of the other things.",1,rebuilding military include space force thing
573,Trump,"A fixing of the VA which was a mess under him, 308,000 people died because they didn't have proper health care.",1,fixing va mess people die proper health care
574,Trump,It was a mess.,1,mess
575,Trump,"And we now got a 91% approval rating at the VA, our vets.",1,get approval rating va vet
576,Trump,We take care of our vets.,1,care vet
577,Trump,But we've rebuilt our military.,1,rebuild military
578,Trump,"And I'll tell you something, some people say maybe the most important by the end of the first term I'll have approximately 300 Federal judges and Court of Appeals judges, 300 and hopefully three great Supreme Court judges, justices that is a record the likes of which very few people and one of the reasons I'll have so many judges because President Obama and him left me 128 judges to fill.",1,tell people maybe important end term approximately federal judge court appeal judge hopefully great supreme court judge justice record people reason judge president obama leave judge fill
579,Trump,"When you leave office, you don't leave any judges.",0,leave office leave judge
580,Trump,"That's like, you just don't do that.",0,
581,Trump,"They left 128 openings and if I were a member of his party, because they have a little different philosophy, I'd say, if you left us 128 openings you can't be a good president.",0,leave opening member party little different philosophy leave opening good president
582,Trump,"You can't be a good vice president but I want to thank you because it gives us almost, it'll probably be above that number.",0,good vice president want thank give probably
583,Trump,"By the end of this term, 300 judges.",1,end term judge
584,Trump,It's a record.,1,record
585,Trump,You son got three and a half million dollars.,0,son get half million dollar
586,Trump,"Are you talking Hunter, are you talking about Hunter.",0,talk hunter talk hunter
587,Trump,I don't know Beau.,0,know beau
588,Trump,I know Hunter.,0,know hunter
589,Trump,Hunter got thrown out of the military.,0,hunter get throw military
590,Trump,He was thrown out dishonorably discharged.,0,throw dishonorably discharge
591,Trump,For cocaine use.,0,cocaine use
592,Trump,And he didn't have a job until you became vice president.,0,job vice president
593,Trump,"Once you became vice president he made a fortune in Ukraine, in China, in Moscow and various other places.",0,vice president fortune ukraine china moscow place
594,Trump,He made a fortune and he didn't have a job.,0,fortune job
595,Trump,But why was he given tens of millions of dollars?,0,give ten million dollar
596,Trump,I know but when somebody gets three and a half million dollars from the Mayor of Moscow.,0,know somebody get half million dollar mayor moscow
597,Trump,I want crystal clean water and air.,1,want crystal clean water air
598,Trump,I want beautiful clean air.,0,want beautiful clean air
599,Trump,We have now the lowest carbon...,1,low carbon
600,Trump,"If you look at our numbers right now, we are doing phenomenally.",1,look right phenomenally
601,Trump,But I haven't destroyed our businesses.,1,destroy business
602,Trump,Our businesses aren't put out of commission.,0,business commission
603,Trump,"If you look at the Paris Accord, it was a disaster from our standpoint.",1,look paris accord disaster standpoint
604,Trump,And people are actually very happy about what's going on because our businesses are doing well.,1,people actually happy go business
605,Trump,"As far as the fires are concerned, you need forest management.",1,far fire concern need forest management
606,Trump,"In addition to everything else, the forest floors are loaded up with trees, dead trees that are years old and they're like tinder and leaves and everything else.",1,addition forest floor load tree dead tree year old tinder leave
607,Trump,You drop a cigarette in there the whole forest burns down.,0,drop cigarette forest burn
608,Trump,You've got to have forest management.,1,get forest management
609,Trump,I believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that's good.,1,believe immaculate air immaculate water good
610,Trump,"We're planting a billion trees, the Billion Tree Project and it's very exciting for a lot of people.",1,plant billion tree billion tree project exciting lot people
611,Trump,"I think a lot of things do, but I think to an extent, yes.",0,think lot thing think extent yes
612,Trump,"I think to an extent, yes, but I also think we have to do better management of our forest.",1,think extent yes think well management forest
613,Trump,Every year I get the call.,0,year
614,Trump,"California's burning, California's burning.",0,california burn california burn
615,Trump,"If that was cleaned, if that were, if you had forest management, good forest management, you wouldn't be getting those calls.",1,clean forest management good forest management get call
616,Trump,"In Europe, they live they're forest cities.",1,europe live forest city
617,Trump,They call forest cities.,1,forest city
618,Trump,They maintain their forest.,1,maintain forest
619,Trump,They manage their forest.,0,manage forest
620,Trump,"I was with the head of a major country, it's a forest city.",1,head major country forest city
621,Trump,"He said, Sir, we have trees that are far more, they ignite much easier than California.",1,say sir tree far ignite easy california
622,Trump,There shouldn't be that problem.,1,problem
623,Trump,I spoke with the Governor about it.,1,speak governor
624,Trump,I'm getting along very well with the governor.,0,get governor
625,Trump,"But I said, At some point you can't every year have hundreds of thousands of acres of land just burned to the ground.",1,say point year hundred thousand acre land burn ground
626,Trump,That's burning down because of a lack of management.,1,burn lack management
627,Trump,Because it was driving energy prices through the sky.,1,drive energy price sky
628,Trump,"Well, not really because what's happening is the car is much less expensive and it's a much safer car and you talk it about a tiny difference.",1,happen car expensive safe car talk tiny difference
629,Trump,And then what would happen because of the cost of the car you would have at least double and triple the number of cars purchased.,1,happen cost car double triple car purchase
630,Trump,"We have the old slugs out there that are 10, 12 years old.",1,old slug year old
631,Trump,"If you did that, the car would be safer.",1,car safe
632,Trump,"It would be much cheaper by $3,500.",1,cheap
633,Trump,"No, but you would take a lot of cars off the market because people would be able to afford a car.",1,lot car market people able afford car
634,Trump,"Now, by the way, we're going to see how that turns out.",1,way go turn
635,Trump,"But a lot of people agree with me, many people.",1,lot people agree people
636,Trump,The car has gotten so expensive because they have computers all over the place for an extra little bit of gasoline.,1,car get expensive computer place extra little bit gasoline
637,Trump,And I'm okay with electric cars too.,1,okay electric car
638,Trump,I think I'm all for electric cars.,0,think electric car
639,Trump,I've given big incentives for electric cars but what they've done in California is just crazy.,1,give big incentive electric car california crazy
640,Trump,Not true.,0,true
641,Trump,Not true-,0,true
642,Trump,He's talking about the Green New Deal.,0,talk green new deal
643,Trump,"And it's not 2 billion   or 20 billion, as you said  .",0,billion billion say
644,Trump,It's $100 trillion.,0,trillion
645,Trump,And rebuild the building.,0,rebuild building
646,Trump,It's the dumbest-,0,dumbest
647,Trump,... most ridiculous   where two car systems are out-,0,ridiculous car system out
648,Trump,... where they want to take out the cows too.,0,want cow
649,Trump,"That's not true either, right?",0,true right
650,Trump,This is a 100 trillion-,0,trillion
651,Trump,That's more money than our country could make in 100 years  -,0,money country year
652,Trump,100 million dollars.,0,million dollar
653,Trump,I never said that at all-,0,say all
654,Trump,You make up a lot-,0,lot
655,Trump,"Wait a minute, Chris.",0,wait minute chris
656,Trump,So why didn't he do it for 47 years?,0,year
657,Trump,You were vice president-,0,vice president
658,Trump,So why didn't you get the world... China sends up real dirt into the air.,0,world china send real dirt air
659,Trump,Russia does.,0,russia
660,Trump,India does.,0,india
661,Trump,They all do.,0,
662,Trump,We're supposed to be good.,1,suppose good
663,Trump,"And by the way, he made a couple of statements.",1,way couple statement
664,Trump,The Green New Deal is a hundred trillion dollars.,1,green new deal trillion dollar
665,Trump,He made a statement about the military.,0,statement military
666,Trump,He said I said something about the military.,0,say say military
667,Trump,"He and his friends made it up, and then they went with it.",0,friend go
668,Trump,I never said it.,0,say
669,Trump,He called the military stupid bastards.,0,call military stupid bastard
670,Trump,He said it on tape.,0,say tape
671,Trump,-,0,
672,Trump,You're on tape-,0,tape
673,Trump,"Oh, you don't?",0,
674,Trump,"Oh, well, that's a big statement.",0,big statement
675,Trump,You just lost the radical left.,0,lose radical left
676,Trump,"So when I listen to Joe talking about a transition, there has been no transition from when I won.",0,listen joe talk transition transition win
677,Trump,I won that election.,0,win election
678,Trump,"And if you look at crooked Hillary Clinton, if you look at all of the different people, there was no transition, because they came after me trying to do a coup.",1,look crooked hillary clinton look different people transition come try coup
679,Trump,They came after me spying on my campaign.,0,come spy campaign
680,Trump,"They started from the day I won, and even before I won.",0,start day win win
681,Trump,"From the day I came down the escalator with our first lady, they were a disaster.",0,day come escalator lady disaster
682,Trump,"They were a disgrace to our country, and we've caught them.",0,disgrace country catch
683,Trump,We've caught them all.,0,catch
684,Trump,We've got it all on tape.,0,get tape
685,Trump,We've caught them all.,1,catch
686,Trump,"And by the way, you gave the idea for the Logan Act against General Flynn.",1,way give idea logan act general flynn
687,Trump,"You better take a look at that, because we caught you in a sense, and President Obama was sitting in the office.",1,better look catch sense president obama sit office
688,Trump,He knew about it too.,0,know
689,Trump,So don't tell me about a free transition.,0,tell free transition
690,Trump,"As far as the ballots are concerned, it's a disaster.",1,far ballot concern disaster
691,Trump,"A solicited ballot, okay, solicited, is okay.",1,solicited ballot okay solicited okay
692,Trump,You're soliciting.,0,solicit
693,Trump,You're asking.,1,ask
694,Trump,They send it back.,0,send
695,Trump,You send it back.,1,send
696,Trump,I did that.,0,
697,Trump,If you have an unsolicited...,0,unsolicited
698,Trump,They're sending millions of ballots all over the country.,1,send million ballot country
699,Trump,There's fraud.,1,fraud
700,Trump,They found them in creeks.,0,find creek
701,Trump,"They found some, just happened to have the name Trump just the other day in a wastepaper basket.",0,find happen trump day wastepaper basket
702,Trump,They're being sent all over the place.,0,send place
703,Trump,They sent two in a Democrat area.,0,send democrat area
704,Trump,They sent out a thousand ballots.,1,send thousand ballot
705,Trump,Everybody got two ballots.,0,everybody get ballot
706,Trump,This is going to be a fraud like you've never seen.,1,go fraud see
707,Trump,"The other thing, it's nice.",0,thing nice
708,Trump,"On November 3rd, you're watching, and you see who won the election.",1,november rd watch win election
709,Trump,And I think we're going to do well because people are really happy with the job we've done.,1,think go people happy job
710,Trump,But you know what?,1,know
711,Trump,We won't know.,1,know
712,Trump,We might not know for months because these ballots are going to be all over.,1,know month ballot go
713,Trump,Take a look at what happened in Manhattan.,1,look happen manhattan
714,Trump,Take a look at what happened in New Jersey.,1,look happen new jersey
715,Trump,Take a look at what happened in Virginia and other places.,1,look happen virginia place
716,Trump,"They're not losing 2%, 1%, which by the way is too much.",1,lose way
717,Trump,An election could be won or lost with that.,1,election win lose
718,Trump,They're losing 30 and 40%.,1,lose
719,Trump,"It's a fraud, and it's a shame.",1,fraud shame
720,Trump,"And can you imagine where they say, You have to have your ballot in by November 10th.",1,imagine ballot november th
721,Trump,November 10th.,1,november th
722,Trump,"That's seven days after the election, in theory, should have been announced.",1,seven day election theory announce
723,Trump,We have major states   with that-,1,major state that
724,Trump,... all run by Democrats-,0,run democrats
725,Trump,All run by Democrats.,0,run democrat
726,Trump,It's a rigged election.,1,rig election
727,Trump,Yeah.,0,
728,Trump,"I think I'm counting on them to look at the ballots, definitely.",1,think count look ballot definitely
729,Trump,"I hope we don't need them, in terms of the election itself.",0,hope need term election
730,Trump,"But for the ballots, I think so, because what's happening is incredible.",0,ballot think happen incredible
731,Trump,I read today where at least 1% of the ballots for 2016 were invalidated.,0,read today ballot invalidate
732,Trump,They take them.,0,
733,Trump,We don't like them.,0,
734,Trump,We don't like them.,0,
735,Trump,They throw them out-,0,throw out
736,Trump,... left and right.,0,left right
737,Trump,What you do is you go and vote.,1,vote
738,Trump,"You do a solicited ballot, and that's okay-",1,solicit ballot okay
739,Trump,You go and vote.,1,vote
740,Trump,You go and vote-,0,vote
741,Trump,"You either do, Chris, a solicited ballot, where you're sending it in, they're sending it back and you're sending.",0,chris solicit ballot send send send
742,Trump,They have mailmen with lots of it.,0,mailman lot
743,Trump,Did you see what's going on?,0,go
744,Trump,"Take a look at West Virginia, mailman selling the ballots.",0,look west virginia mailman sell ballot
745,Trump,They're being sold.,0,sell
746,Trump,They're being dumped in rivers.,0,dump river
747,Trump,This is a horrible thing for our country.,0,horrible thing country
748,Trump,This is not going to end well.,0,go end
749,Trump,This is not going to end well-,0,go end well
750,Trump,You're wrong.,0,wrong
751,Trump,You're wrong  .,0,wrong
752,Trump,I love counting the votes  -,0,love count vote
753,Trump,"Chris, he's so wrong when he makes a statement like that-",0,chris wrong make statement that
754,Trump,Excuse me  -,0,excuse
755,Trump,You know it can't be done.,0,know
756,Trump,"You know it can't, and already, there's been fraud  -",0,know fraud
757,Trump,Could be months-,0,months
758,Trump,"I'm urging my supporters to go in to the polls and watch very carefully, because that's what has to happen.",1,urge supporter poll watch carefully happen
759,Trump,I am urging them to do it.,0,urge
760,Trump,"As you know, today there was a big problem.",1,know today big problem
761,Trump,"In Philadelphia, they went in to watch.",1,philadelphia go watch
762,Trump,"They're called poll watchers, a very safe, very nice thing.",0,call poll watcher safe nice thing
763,Trump,They were thrown out.,0,throw
764,Trump,They weren't allowed to watch.,1,allow watch
765,Trump,You know why?,1,know
766,Trump,Because bad things happen in Philadelphia.,1,bad thing happen philadelphia
767,Trump,Bad things.,0,bad thing
768,Trump,And I am urging my people.,0,urge people
769,Trump,I hope it's going to be a fair election.,1,hope go fair election
770,Trump,If it's a fair election-,1,fair election
771,Trump,...,0,
772,Trump,I am 100% on board.,1,board
773,Trump,"But if I see tens of thousands of ballots being manipulated, I can't go along with that.",1,ten thousand ballot manipulate
774,Trump,And I'll tell you why-,0,tell why
775,Trump,... from a common sense-,0,common sense
776,Trump,I'll tell you what it means-,0,tell means
777,Trump,It means you have a fraudulent election.,1,mean fraudulent election
778,Trump,You're sending out 80 million ballots-,1,send million ballots
779,Trump,They're not equipped...,0,equip
780,Trump,"These people aren't equipped to handle it, number one.",1,people equip handle
781,Trump,"Number two, they cheat.",0,cheat
782,Trump,They cheat.,1,cheat
783,Trump,"Hey, they found ballots in a wastepaper basket three days ago, and they all had the name military ballots.",1,find ballot wastepaper basket day ago military ballot
784,Trump,There were military.,1,military
785,Trump,They all had the name Trump on them.,1,trump
786,Trump,You think that's good?,0,think good
787,Trump,It's already been established.,0,establish
788,Trump,Take a look at Carolyn Maloney's race-,0,look carolyn maloney race
789,Trump,I want to see an honest ballot cut-,0,want honest ballot cut
790,Trump,I want to see an honest ballot count.,1,want honest ballot count
791,Trump,And I think he does too-,0,think too
